Date,Time_UTC,Latitude,Longitude,Altitude,Satellites,Accuracy,SSID,BSSID,Channel,RSSI,Encryption
2025-05-02,13:02:30,40.747893,-73.996222,23.4,9,0,g4XpRVjWu0,9D:68:02:13:3D:5D,7,-79,WPA3
2025-05-02,13:03:00,40.752371,-74.00394,32.4,7,6,uOL7yFBK26,D2:4F:04:A1:60:1E,4,-74,WPA3
2025-05-02,13:03:30,40.753576,-74.000064,32.2,5,1,ylakXvMDiw,ED:C8:27:EB:99:1D,8,-75,WEP
2025-05-02,13:04:00,40.750511,-74.004865,21.8,6,5,Unip9SRuHc,BC:CF:17:8B:01:AD,4,-45,WEP
2025-05-02,13:04:30,40.753947,-73.999716,32.2,5,5,RXgwyiIj3S,8A:8C:F2:60:CF:09,10,-39,WEP
2025-05-02,13:05:00,40.746072,-73.995569,25.5,5,4,9QsPjlTH2r,2A:0E:D3:40:B5:A6,9,-35,WPA3
2025-05-02,13:05:30,40.74523,-74.002385,32.5,9,5,egxb1vZ0KN,6C:90:74:3C:C0:00,7,-39,WPA3
2025-05-02,13:06:00,40.748078,-73.999643,33.4,10,3,F9KIlkSf3T,3A:EE:BC:8D:C9:52,1,-51,WPA2
2025-05-02,13:06:30,40.75066,-74.003748,22.4,8,4,eaDrbsOzcK,86:20:AD:5B:AE:36,8,-34,WPA3
2025-05-02,13:07:00,40.746129,-74.004003,26.3,10,3,B7VtrxjJ0Y,CB:1A:AD:F9:6E:31,6,-80,WPA2
2025-05-02,13:07:30,40.754886,-74.004403,30.2,9,4,ivWgu3XGkU,E4:1F:63:06:F0:21,6,-54,WPA2
2025-05-02,13:08:00,40.748455,-73.995219,20.3,9,3,FVs4U5Oqfd,D6:49:BE:30:3B:76,6,-72,WPA2
2025-05-02,13:08:30,40.74614,-74.002093,27.8,5,5,oLlRmIVMHg,B5:84:0C:90:C1:B0,7,-78,WEP
2025-05-02,13:09:00,40.751243,-73.995343,25.1,6,2,HyxSYaT97v,ED:27:BC:3D:42:D9,5,-67,WEP
2025-05-02,13:09:30,40.752508,-74.002566,22.1,8,6,LGY9pCrPe2,57:4C:E1:8A:D1:69,1,-33,WPA2
2025-05-02,13:10:00,40.751693,-74.001587,20.9,7,2,mutjoeIKRp,9F:0A:34:82:B4:32,3,-52,WPA3
2025-05-02,13:10:30,40.753749,-73.997204,31.0,9,1,lYuewpbDOR,D2:AA:B0:FF:C0:B7,2,-56,WPA2
2025-05-02,13:11:00,40.745103,-73.999671,22.0,9,0,4iRgTj3UGD,A4:64:14:06:02:0A,8,-47,WPA3
2025-05-02,13:11:30,40.748594,-73.999742,27.5,7,1,oMiSfqmlOU,17:BA:EA:32:E6:89,5,-71,WEP
2025-05-02,13:12:00,40.746361,-74.003653,34.8,5,4,30kI9YKfMx,BB:FC:F0:DB:2C:76,3,-67,WPA3
2025-05-02,13:12:30,40.749917,-73.999003,27.8,6,6,t28Rpke6Vf,93:E7:B7:CF:3F:2A,6,-80,WPA2
2025-05-02,13:13:00,40.754141,-73.995076,33.6,10,4,mqBXkLYvnF,7F:7F:02:16:09:9D,11,-36,WEP
2025-05-02,13:13:30,40.754542,-74.00242,25.9,5,7,JkaBDY3OeH,F1:67:82:21:54:D4,1,-74,WEP
2025-05-02,13:14:00,40.751758,-74.003726,26.9,8,0,grC14SDujo,11:F9:35:DE:B3:EA,4,-66,WPA2
2025-05-02,13:14:30,40.753348,-73.99725,20.9,10,4,z9ev7gDd0w,F8:7B:D5:24:1F:25,5,-40,WPA3
2025-05-02,13:15:00,40.754964,-73.997792,24.4,6,2,sSEo1I4Yte,E7:68:73:65:AE:14,3,-55,WPA2
2025-05-02,13:15:30,40.748327,-74.003526,26.7,8,3,9MZlRBUjk3,52:49:52:42:EF:59,3,-30,WPA3
2025-05-02,13:16:00,40.747039,-74.000939,33.3,8,3,o0GzpfWHVb,0E:28:2D:E6:E1:A6,7,-66,WEP
2025-05-02,13:16:30,40.754845,-74.00184,34.5,9,6,WtYzx0GE23,9D:69:F5:3B:01:53,1,-42,WPA3
2025-05-02,13:17:00,40.745599,-74.001755,29.7,10,1,lSUGrt8vcn,60:FE:18:E7:BC:12,1,-72,WPA3
2025-05-02,13:17:30,40.745008,-74.002068,30.0,10,6,lPkmZ0ORGq,82:FC:B2:21:FE:AC,6,-33,WPA2
2025-05-02,13:18:00,40.747528,-73.995518,33.8,10,3,ZQPUScgayF,8D:B8:A8:46:33:DB,3,-67,WEP
2025-05-02,13:18:30,40.754051,-73.997561,30.7,10,3,txZiGIkazq,B2:47:EE:1D:F6:BC,10,-45,WPA2
2025-05-02,13:19:00,40.752629,-74.003374,24.1,5,1,NvYyoXF7wq,4A:20:09:E3:90:D6,8,-42,WEP
2025-05-02,13:19:30,40.748064,-73.995112,33.4,5,1,nPDIyvJLG7,CC:ED:D5:F6:9F:84,8,-45,WPA3
